FeatureID,FeatureName,Cluster 1 Average,Cluster 1 Log2 Fold Change,Cluster 1 P-Value,Cluster 2 Average,Cluster 2 Log2 Fold Change,Cluster 2 P-Value
ENSMUSG00000022097,Sftpc,2371.050806,3.61467673,0.00344195,194.0030244,-3.61467673,0.00344195
ENSMUSG00000069516,Lyz2,398.2899371,3.796110362,0.002257524,28.73549844,-3.796110362,0.002257524
ENSMUSG00000021789,Sftpa1,304.8183047,3.646060825,0.003206651,24.40188385,-3.646060825,0.003206651
ENSMUSG00000092341,Malat1,124.2260402,0.480127471,0.845528172,89.26221793,-0.480127471,0.845528172
ENSMUSG00000056370,Sftpb,107.2050138,3.478839524,0.00475433,9.635403067,-3.478839524,0.00475433
ENSMUSG00000021795,Sftpd,55.90954324,3.54475511,0.004085529,4.799411095,-3.54475511,0.004085529
ENSMUSG00000024610,Cd74,45.19887225,3.364211926,0.006233931,4.397021445,-3.364211926,0.006233931
ENSMUSG00000098178,Gm42418,35.96748618,-0.208923857,0.859066732,41.66561918,0.208923857,0.859066732
ENSMUSG00000049775,Tmsb4x,34.56625025,1.887383611,0.114691039,9.36226585,-1.887383611,0.114691039
ENSMUSG00000021242,Npc2,33.80007383,2.448486683,0.041025855,6.204116781,-2.448486683,0.041025855
ENSMUSG00000024653,Scgb1a1,33.09277174,0.363056439,1,25.78707973,-0.363056439,1
ENSMUSG00000064246,Chil1,30.06398481,3.659256531,0.003147048,2.382634471,-3.659256531,0.003147048
ENSMUSG00000069515,Lyz1,29.40988566,2.970625212,0.018740415,3.758075456,-2.970625212,0.018740415
ENSMUSG00000029375,Cxcl15,27.09501744,3.60373544,0.003556853,2.231433512,-3.60373544,0.003556853
ENSMUSG00000040952,Rps19,23.03066355,1.991116994,0.095486828,5.804165856,-1.991116994,0.095486828
ENSMUSG00000050708,Ftl1,22.71698222,-1.477595255,0.039914176,63.40685389,1.477595255,0.039914176
ENSMUSG00000024661,Fth1,21.50870824,-1.408142485,0.052649712,57.21249201,1.408142485,0.052649712
ENSMUSG00000002204,Napsa,19.82984476,3.480835017,0.021958583,1.777830634,-3.480835017,0.021958583
ENSMUSG00000017723,Wfdc2,17.82703746,-0.530342339,0.531055651,25.80415081,0.530342339,0.531055651
ENSMUSG00000019505,Ubb,15.63099815,-1.505174861,0.035387234,44.47015311,1.505174861,0.035387234
ENSMUSG00000025150,Cbr2,14.44189883,-1.850684007,0.006416717,52.20578928,1.850684007,0.006416717
ENSMUSG00000015452,Ager,13.47074254,3.486381071,0.022023492,1.202291499,-3.486381071,0.022023492
ENSMUSG00000000740,Rpl13,12.63313374,0.632617778,0.707126581,8.164851801,-0.632617778,0.707126581
ENSMUSG00000024608,Rps14,12.03615349,0.587546438,0.74517785,8.025844468,-0.587546438,0.74517785
ENSMUSG00000016559,H3f3b,10.79938758,-1.517577372,0.033703006,30.98888048,1.517577372,0.033703006
ENSMUSG00000008682,Rpl10,10.59265228,0.976198987,0.455527431,5.394460031,-0.976198987,0.455527431
ENSMUSG00000028495,Rps6,9.840519277,0.588340155,0.744541075,6.557731928,-0.588340155,0.744541075
ENSMUSG00000060036,Rpl3,9.820939513,0.784716011,0.585157016,5.711494301,-0.784716011,0.585157016
ENSMUSG00000041453,Rpl21,9.285669278,1.081819564,0.392804995,4.39458272,-1.081819564,0.392804995
ENSMUSG00000037742,Eef1a1,9.10931637,0.411421334,0.906050186,6.862572571,-0.411421334,0.906050186
ENSMUSG00000032359,Ctsh,9.089331507,0.937913585,0.480121455,4.753075317,-0.937913585,0.480121455
ENSMUSG00000035530,Eif1,9.014658339,-1.245719992,0.094857404,21.42420044,1.245719992,0.094857404
ENSMUSG00000029188,Slc34a2,8.974688614,3.365044181,0.026790014,0.870624878,-3.365044181,0.026790014
ENSMUSG00000074129,Rpl13a,8.665733442,0.732904574,0.626203403,5.223749271,-0.732904574,0.626203403
ENSMUSG00000036594,H2-Aa,8.51611704,3.428899113,0.024366982,0.790146949,-3.428899113,0.024366982
ENSMUSG00000093674,Rpl41,8.433611965,-1.021389656,0.180808711,17.15643143,1.021389656,0.180808711
ENSMUSG00000067274,Rplp0,8.426185158,0.382839675,0.932742621,6.474815273,-0.382839675,0.932742621
ENSMUSG00000006333,Rps9,8.166381946,0.679274266,0.669147037,5.109129189,-0.679274266,0.669147037
ENSMUSG00000025351,Cd63,8.140320605,1.116563569,0.374006276,3.760514181,-1.116563569,0.374006276
